[LOG] [Tue Apr 18 17:21:08 2023] Log Init. 
[LOG] [Tue Apr 18 17:21:08 2023] Engine pre-initialization complete. 
[LOG] [Tue Apr 18 17:21:09 2023] InitWindows complete. 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[LOG] [Tue Apr 18 17:21:09 2023] Engine initialization complete. 
[LOG] [Tue Apr 18 17:21:09 2023] Engine post-initialization complete. 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
[SUCCESS] [Tue Apr 18 17:21:09 2023] Success ! 
